交易ID,申请日期,确认日期,基金代码,交易类型,申请成交金额,确认份额,确认净值,手续费,实际到账分红,确认状态,策略标签,备注,关联交易ID,录入来源,录入批次,录入时间,最近修改来源,最近修改批次,最近修改时间
TX-20260701-021934-001,2026-07-01,2026-07-02,021934,买入,500,121.86,4.1032,0,0,已确认,初始建仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260702-021934-001,2026-07-02,2026-07-03,021934,买入,500,131.19,3.8112,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260713-021934-001,2026-07-13,2026-07-14,021934,买入,500,134.29,3.7234,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260626-023652-001,2026-06-26,2026-06-29,023652,买入,500,195.07,2.5632,0,0,已确认,初始建仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260629-023652-001,2026-06-29,2026-06-30,023652,买入,500,187.15,2.6716,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260701-023652-001,2026-07-01,2026-07-02,023652,买入,1000,370.15,2.7016,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260703-023652-001,2026-07-03,2026-07-06,023652,买入,500,201.81,2.4776,0,0,已确认,回撤加仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260708-023652-001,2026-07-08,2026-07-09,023652,买入,500,196.51,2.5444,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260710-023652-001,2026-07-10,2026-07-13,023652,买入,500,193.74,2.5808,0,0,已确认,其他,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260717-023652-001,2026-07-17,2026-07-20,023652,买入,500,238.69,2.0948,0,0,已确认,回撤加仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260817-023652-001,2026-08-17,,023652,卖出,,238.69,,0,0,待确认,止盈,待确认，对2026/7/17补仓的份额进行止盈,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260626-027521-001,2026-06-26,2026-06-29,027521,买入,500,408.26,1.2247,0,0,已确认,初始建仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
TX-20260702-027521-001,2026-07-02,2026-07-03,027521,买入,500,418.24,1.1955,0,0,已确认,回撤加仓,,,历史Excel迁移,MIGRATION-XLSX-20260817,2026-08-17T19:02:49+08:00,,,
